Learning Rate,Epochs,Optimizer,Neurons,Activation function,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Validation Loss,Training Accuracy,Training F1,Training Precision,Training Recall,Training Loss
0.01,50,sgd,"[8, 8, 4]",relu,0.6140350877192983,0.28353155406799213,0.28029710144927533,0.289404656646036,0.9668433987483228,0.63125,0.3139573152655469,0.3036310683702416,0.32902025957581515,0.8594427001219622
0.01,50,gd,"[8, 8, 4]",relu,0.36403508771929827,0.14489998019409786,0.1841018164145556,0.16949896846448573,1.3765727264074459,0.34625,0.12620987115517335,0.13437677529876804,0.15103778992667882,1.3824428236814377
0.01,50,mini-batch,"[8, 8, 4]",relu,0.6096491228070176,0.2736070660841828,0.2901924334508604,0.27292292956086056,0.9905282101355095,0.57875,0.28342062979245447,0.2880551680861278,0.28468906941129163,0.9722607543593591
0.01,100,sgd,"[8, 8, 4]",relu,0.6140350877192983,0.28353155406799213,0.28029710144927533,0.289404656646036,0.9668433987483228,0.63125,0.3139573152655469,0.3036310683702416,0.32902025957581515,0.8594427001219622
0.01,100,gd,"[8, 8, 4]",relu,0.40350877192982454,0.2008120966640146,0.2329293370899317,0.19948128499852638,1.2678763353706417,0.3825,0.1672313835246739,0.1883961598762435,0.1709075528519973,1.266987517084275
0.01,100,mini-batch,"[8, 8, 4]",relu,0.6228070175438597,0.2928417565832672,0.2982557818623392,0.29323607427055703,0.9808729807243708,0.60125,0.2973782570378503,0.29856404927562424,0.2991110768888547,0.9575440713745921
0.01,50,sgd,"[16, 8, 16]",relu,0.6008771929824561,0.27803785651319285,0.2936016511867905,0.27572133804892424,0.9552869766621297,0.63625,0.3015958448227452,0.32020884190721716,0.29895119478452814,0.8702649588830531
0.01,50,gd,"[16, 8, 16]",relu,0.44298245614035087,0.17217298830202055,0.18376215448486835,0.18038829944002358,1.2463041196551088,0.45375,0.18677344877344879,0.21757178271766373,0.19276434554212332,1.2176412777517687
0.01,50,mini-batch,"[16, 8, 16]",relu,0.6140350877192983,0.2816071428571429,0.28118686868686865,0.28496684350132623,0.9869045180905863,0.62125,0.30982837786013123,0.30876065694906274,0.31244866661533327,0.9170399444794668
0.01,100,sgd,"[16, 8, 16]",relu,0.6008771929824561,0.27803785651319285,0.2936016511867905,0.27572133804892424,0.9552869766621297,0.63625,0.3015958448227452,0.32020884190721716,0.29895119478452814,0.8702649588830531
0.01,100,gd,"[16, 8, 16]",relu,0.45614035087719296,0.18462950020926616,0.20039682539682538,0.18994694960212202,1.1808543270947025,0.47125,0.20257623869564165,0.23168536634794304,0.20535118451785117,1.1420422258871301
0.01,100,mini-batch,"[16, 8, 16]",relu,0.6228070175438597,0.2863287250384024,0.28569709672411114,0.2894245505452402,0.9591431891683242,0.655,0.321530402375975,0.3230592394066818,0.3228923367812257,0.8739745722372999
0.05,50,sgd,"[8, 10]",relu,0.5833333333333334,0.2493400756118905,0.25487900078064013,0.2528661951075744,1.0194704018388256,0.64125,0.30771661058784433,0.31538424920676217,0.30771850910739795,0.8761491225857222
0.05,50,gd,"[8, 10]",relu,0.5921052631578947,0.2642839282900731,0.2788461538461539,0.2639537282640731,1.1025162066718945,0.54,0.28773976497786097,0.4375977285392287,0.2754688449132893,1.058422019128808
0.05,50,mini-batch,"[8, 10]",relu,0.6447368421052632,0.27169945904543064,0.30094698536101233,0.2752483053345122,0.9881030069365743,0.6125,0.28685368312084564,0.30503083814537385,0.2846719582830694,0.8847977070438694
0.05,100,sgd,"[8, 10]",relu,0.5833333333333334,0.2493400756118905,0.25487900078064013,0.2528661951075744,1.0194704018388256,0.64125,0.30771661058784433,0.31538424920676217,0.30771850910739795,0.8761491225857222
0.05,100,gd,"[8, 10]",relu,0.6228070175438597,0.28114035087719297,0.29765794480600305,0.27992263483642793,1.0564752112414415,0.5625,0.2755622359441014,0.28026062681774255,0.27572818545040767,1.006839768739633
0.05,100,mini-batch,"[8, 10]",relu,0.6447368421052632,0.27169945904543064,0.30094698536101233,0.2752483053345122,0.9881030069365743,0.6125,0.28685368312084564,0.30503083814537385,0.2846719582830694,0.8847977070438694
0.05,50,sgd,"[16, 8]",relu,0.6140350877192983,0.2885553510867802,0.3230576441102757,0.28308797524314766,0.972963023602498,0.66125,0.3235509692132594,0.3336960861652695,0.32370511537178204,0.8535300750892166
0.05,50,gd,"[16, 8]",relu,0.5526315789473685,0.259988316470797,0.28163208889613983,0.25558797524314764,1.0452095318453114,0.5775,0.2679735289664368,0.2889918643682085,0.2664582317360095,1.0358009128570655
0.05,50,mini-batch,"[16, 8]",relu,0.6052631578947368,0.275518341307815,0.33761633300415955,0.27377173592690834,0.9871564860854671,0.60625,0.2659389260219269,0.31332226428106086,0.26732822566155895,0.913133532679026
0.05,100,sgd,"[16, 8]",relu,0.6140350877192983,0.2885553510867802,0.3230576441102757,0.28308797524314766,0.972963023602498,0.66125,0.3235509692132594,0.3336960861652695,0.32370511537178204,0.8535300750892166
0.05,100,gd,"[16, 8]",relu,0.5394736842105263,0.24775225897571704,0.25351696234049176,0.24890141467727675,1.0074459731485144,0.57625,0.26988664335375595,0.27825580374599984,0.2704076940188051,0.9848366442564342
0.05,100,mini-batch,"[16, 8]",relu,0.6052631578947368,0.275518341307815,0.33761633300415955,0.27377173592690834,0.9871564860854671,0.60625,0.2659389260219269,0.31332226428106086,0.26732822566155895,0.913133532679026
