Learning Rate,Epochs,Optimizer,Hidden Layers,Neurons,Activation Function,Validation Accuracy,Validation Hamming Loss,Validation Loss,Validation F1,Validation Precision,Validation Recall,Training Accuracy,Training Hamming Loss,Training Loss,Training F1,Training Precision,Training Recall
0.01,50,sgd,2,"[8, 10]",relu,0.65125,0.34875,5.260719552264828,0.04404354096403548,0.2533866995073892,0.02792019939506628,0.6580357142857143,0.3419642857142857,5.103610693724569,0.0719817773371743,0.5098718802437157,0.04323391083017387
0.01,50,gd,2,"[8, 10]",relu,0.501875,0.49812500000000004,9.20068541060366,0.35095842342269873,0.29684711474858066,0.5207517919683207,0.49660714285714286,0.5033928571428572,9.113002539395673,0.3559087866822309,0.36654587510730186,0.5263182572756078
0.01,50,mini-batch,2,"[8, 10]",relu,0.64125,0.35875,5.375017110138617,0.0915080951444663,0.21859180035650624,0.05966421312516647,0.6396428571428572,0.3603571428571428,5.300584692225135,0.10733174948661135,0.3784299345015034,0.0693053148785142
0.01,100,sgd,2,"[8, 10]",relu,0.65125,0.34875,5.260719552264828,0.04404354096403548,0.2533866995073892,0.02792019939506628,0.6580357142857143,0.3419642857142857,5.103610693724569,0.0719817773371743,0.5098718802437157,0.04323391083017387
0.01,100,gd,2,"[8, 10]",relu,0.501875,0.49812500000000004,9.010463902792987,0.3421080070085829,0.2916727914920776,0.49999112833567616,0.4992857142857143,0.5007142857142857,8.922518742452633,0.352359967497066,0.3668377028308809,0.5124643611018089
0.01,100,mini-batch,2,"[8, 10]",relu,0.64125,0.35875,5.375017110138617,0.0915080951444663,0.21859180035650624,0.05966421312516647,0.6396428571428572,0.3603571428571428,5.300584692225135,0.10733174948661135,0.3784299345015034,0.0693053148785142
0.01,50,sgd,2,"[16, 8]",relu,0.660625,0.339375,5.17694657377863,0.018531427184405595,0.2708333333333333,0.009722926526932612,0.6557142857142857,0.3442857142857143,5.096782726061181,0.0380369220728803,0.5151907903924033,0.020395826463596098
0.01,50,gd,2,"[16, 8]",relu,0.52375,0.47624999999999995,7.355695248680899,0.3394454740933819,0.2913870010488121,0.4443241132191257,0.5171428571428571,0.4828571428571429,7.603548069100932,0.3348051084263701,0.29459380006798475,0.43321926863550797
0.01,50,mini-batch,2,"[16, 8]",relu,0.62125,0.37875000000000003,5.796731642122292,0.1402140533200796,0.31697294803031106,0.12983844092047114,0.6173214285714286,0.3826785714285714,5.804356592118606,0.14795227477111153,0.31803286320875074,0.13110102045270797
0.01,100,sgd,2,"[16, 8]",relu,0.660625,0.339375,5.17694657377863,0.018531427184405595,0.2708333333333333,0.009722926526932612,0.6557142857142857,0.3442857142857143,5.096782726061181,0.0380369220728803,0.5151907903924033,0.020395826463596098
0.01,100,gd,2,"[16, 8]",relu,0.52375,0.47624999999999995,7.355695248680899,0.3394454740933819,0.2913870010488121,0.4443241132191257,0.5171428571428571,0.4828571428571429,7.603548069100932,0.3348051084263701,0.29459380006798475,0.43321926863550797
0.01,100,mini-batch,2,"[16, 8]",relu,0.62125,0.37875000000000003,5.796731642122292,0.1402140533200796,0.31697294803031106,0.12983844092047114,0.6173214285714286,0.3826785714285714,5.804356592118606,0.14795227477111153,0.31803286320875074,0.13110102045270797
0.01,50,sgd,3,"[8, 8, 4]",relu,0.66,0.33999999999999997,5.1550606927279,0.017857142857142856,0.046875,0.011029411764705883,0.6582142857142858,0.34178571428571425,5.109525785903539,0.026730956611451823,0.20652173913043478,0.015769112523058005
0.01,50,gd,3,"[8, 8, 4]",relu,0.478125,0.521875,6.517699738489558,0.35400905193346655,0.3106765225062355,0.5674014302591351,0.47625,0.5237499999999999,6.583317906674657,0.36582084961527717,0.349568184978939,0.5834325833328808
0.01,50,mini-batch,3,"[8, 8, 4]",relu,0.561875,0.438125,5.484721779157207,0.2337240214690917,0.23201477226612205,0.33711378490790256,0.5569642857142857,0.4430357142857143,5.48861161098865,0.23791617111023344,0.37362810227302756,0.3497381891204534
0.01,100,sgd,3,"[8, 8, 4]",relu,0.66,0.33999999999999997,5.1550606927279,0.017857142857142856,0.046875,0.011029411764705883,0.6582142857142858,0.34178571428571425,5.109525785903539,0.026730956611451823,0.20652173913043478,0.015769112523058005
0.01,100,gd,3,"[8, 8, 4]",relu,0.478125,0.521875,6.517699738489558,0.35400905193346655,0.3106765225062355,0.5674014302591351,0.47625,0.5237499999999999,6.583317906674657,0.36582084961527717,0.349568184978939,0.5834325833328808
0.01,100,mini-batch,3,"[8, 8, 4]",relu,0.6125,0.38749999999999996,5.368829132331171,0.14532667519096687,0.22055702917771883,0.14852309863339275,0.6175,0.38249999999999995,5.358933288235899,0.15206563467180662,0.48122344527172634,0.15765734308611787
0.01,50,sgd,3,"[16, 8, 16]",relu,0.6575,0.3425,5.205926246611593,0.023808407925864125,0.1893939393939394,0.013101705121703854,0.6569642857142857,0.34303571428571433,5.077449583463768,0.03100498120873229,0.3833035714285714,0.016660544276077365
0.01,50,gd,3,"[16, 8, 16]",relu,0.5625,0.4375,6.445493704072808,0.2312890461285767,0.33640034227501314,0.3148760168990816,0.5567857142857143,0.44321428571428567,6.516984968212284,0.22172950933344157,0.2958783883743924,0.296546951674555
0.01,50,mini-batch,3,"[16, 8, 16]",relu,0.6525,0.34750000000000003,5.277860524246693,0.057458949381980456,0.415922619047619,0.03422875036133894,0.6505357142857143,0.34946428571428567,5.187958530983557,0.0556911064997094,0.44896502509332126,0.03185270993664952
0.01,100,sgd,3,"[16, 8, 16]",relu,0.6575,0.3425,5.205926246611593,0.023808407925864125,0.1893939393939394,0.013101705121703854,0.6569642857142857,0.34303571428571433,5.077449583463768,0.03100498120873229,0.3833035714285714,0.016660544276077365
0.01,100,gd,3,"[16, 8, 16]",relu,0.5625,0.4375,6.445493704072808,0.2312890461285767,0.33640034227501314,0.3148760168990816,0.5567857142857143,0.44321428571428567,6.516984968212284,0.22172950933344157,0.2958783883743924,0.296546951674555
0.01,100,mini-batch,3,"[16, 8, 16]",relu,0.6525,0.34750000000000003,5.277860524246693,0.057458949381980456,0.415922619047619,0.03422875036133894,0.6505357142857143,0.34946428571428567,5.187958530983557,0.0556911064997094,0.44896502509332126,0.03185270993664952
0.05,50,sgd,2,"[8, 10]",relu,0.648125,0.35187500000000005,5.248821938529906,0.056808445532435733,0.1208592132505176,0.038483209375704305,0.6616071428571428,0.33839285714285716,5.070317663637749,0.10208390085496957,0.5111523506539413,0.06647788275458918
0.05,50,gd,2,"[8, 10]",relu,0.59125,0.40874999999999995,6.306989371006806,0.23714028925537095,0.2787936184117935,0.24653552373768553,0.5873214285714285,0.41267857142857145,6.189226207482278,0.24248977419606055,0.37866125032847553,0.24361226646998269
