Learning Rate,Optimizer,Hidden Layers,Neurons,Activation Function,Training MSE,Training RMSE,Training R2,Validation MSE,Validation RMSE,Validation R2
0.025,sgd,1,[20],tanh,0.13100415631135598,0.36194496309709295,0.8739722721729136,0.1605762647048266,0.40071968345069675,0.8173947066278835
0.025,gd,1,[20],tanh,0.28799122408254885,0.5366481380593329,0.722948640507227,0.19038701931280302,0.43633361011134936,0.7834942942547336
0.025,mini-batch,1,[20],tanh,0.14401293197518147,0.3794903582110901,0.8614576582485453,0.1065675317996467,0.32644682844170303,0.8788127532796451
0.025,sgd,2,"[13, 6]",tanh,0.11181603472408853,0.3343890469559201,0.892431498452466,0.19362329306669213,0.4400264685978471,0.779814044752432
0.025,gd,2,"[13, 6]",tanh,0.23724038479108825,0.48707328482589585,0.771771617894441,0.22907490387073523,0.47861770116736724,0.7394989221950208
0.025,mini-batch,2,"[13, 6]",tanh,0.1217357895972229,0.34890656284630545,0.8828885633085494,0.16394088070642104,0.40489613570201066,0.8135685079478665
0.025,sgd,2,"[16, 8]",tanh,0.21753815463681692,0.46640985692501924,0.790725423402472,0.23905749424636288,0.48893506137969167,0.7281468469209696
0.025,gd,2,"[16, 8]",tanh,0.35193084861029056,0.5932375987833969,0.6614378776105401,0.27262609345277417,0.5221360871006467,0.6899730612905366
0.025,mini-batch,2,"[16, 8]",tanh,0.1585547476758801,0.3981893364668121,0.8474682395702278,0.15696472612721363,0.3961877410107658,0.8215017025323033
0.025,sgd,3,"[16, 8, 16]",tanh,0.17437049188565484,0.41757692930243984,0.8322532848483712,0.2856359081494633,0.5344491632975613,0.6751784648800847
0.025,gd,3,"[16, 8, 16]",tanh,0.37492848363822207,0.6123140400466268,0.639313849109655,0.27373081018760337,0.5231928995959362,0.6887167914188504
0.025,mini-batch,3,"[16, 8, 16]",tanh,0.18397121970706226,0.42891866327668965,0.8230172579398617,0.22415010337742175,0.47344493172640656,0.7450993429080928
0.025,sgd,3,"[16, 32, 16]",tanh,0.12807209534149988,0.35787161851912747,0.8767929535336119,0.12758749892307153,0.3571939234128592,0.8549091130355471
0.025,gd,3,"[16, 32, 16]",tanh,0.29741804590504434,0.5453604733614679,0.7138799134654963,0.22462715981324344,0.47394847801553647,0.7445568403746181
0.025,mini-batch,3,"[16, 32, 16]",tanh,0.17348428385904857,0.41651444615889205,0.8331058286692701,0.13800712431020498,0.37149310129557583,0.8430600470845948
0.01,sgd,1,[20],sigmoid,0.14036624025460145,0.37465482814799206,0.8649658238256607,0.1329281220321365,0.3645930910373049,0.8488358241132186
0.01,gd,1,[20],sigmoid,0.5082672693601339,0.7129286565710021,0.5110401769689291,0.2774914369389533,0.5267745598820744,0.6844402543325283
0.01,mini-batch,1,[20],sigmoid,0.29893862382389785,0.5467527995574397,0.7124170974336012,0.18404905916120015,0.42900939285894446,0.7907017422234086
0.01,sgd,2,"[13, 6]",sigmoid,0.14448449372316424,0.38011115969300907,0.8610040096216482,0.1488923161665042,0.3858656711428268,0.8306815448446462
0.01,gd,2,"[13, 6]",sigmoid,0.9229386645250516,0.9606969681044338,0.11212082052258465,0.7676702378885962,0.8761679279045749,0.12701513352318028
0.01,mini-batch,2,"[13, 6]",sigmoid,0.3247061905485006,0.5698299663482964,0.6876283580731766,0.19432255748670904,0.44082032335942617,0.7790188501151885
0.01,sgd,2,"[16, 8]",sigmoid,0.16125042492470976,0.4015599891980148,0.8448749624697842,0.11635056866757858,0.34110199159133997,0.867687607725769
0.01,gd,2,"[16, 8]",sigmoid,1.033244460879345,1.016486330886621,0.006005188224253777,0.8982406240978159,0.9477555719159956,-0.02146785506341642
